group,command,function,function_line,parameter,param_kind,option_flags,required,default_expr,core_calls
app,init,init,152,project_dir,arg,,yes,,init_project
import_app,text,import_text,161,project_dir,arg,,yes,,init_project | import_text_batch | register_import_event
import_app,text,import_text,161,input_path,arg,,yes,,init_project | import_text_batch | register_import_event
import_app,text,import_text,161,patterns,arg,,yes,None,init_project | import_text_batch | register_import_event
import_app,csv,import_csv,182,project_dir,arg,,yes,,init_project | import_csv_batch | register_import_event
import_app,csv,import_csv,182,input_path,arg,,yes,,init_project | import_csv_batch | register_import_event
import_app,csv,import_csv,182,patterns,arg,,yes,None,init_project | import_csv_batch | register_import_event
import_app,merge,import_merge,203,project_dir,arg,,yes,,init_project | list_text_files | merge_text_files | register_import_event
import_app,merge,import_merge,203,input_path,arg,,yes,,init_project | list_text_files | merge_text_files | register_import_event
import_app,merge,import_merge,203,output_name,arg,,yes,'merged_results.txt',init_project | list_text_files | merge_text_files | register_import_event
import_app,merge,import_merge,203,deduplicate,arg,,yes,True,init_project | list_text_files | merge_text_files | register_import_event
import_app,pdf,import_pdf_text_cmd,228,project_dir,arg,,yes,,init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf,import_pdf_text_cmd,228,pdf_path,arg,,yes,,init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf,import_pdf_text_cmd,228,out,option,--out,no,"typer.Option(None, '--out', help='Optional output file or directory for extracted text.')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf,import_pdf_text_cmd,228,columns,option,--columns,no,"typer.Option(1, '--columns', min=1, max=3, help='Number of text columns to reconstruct (1..3).')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf,import_pdf_text_cmd,228,dict_id,option,--dict-id,no,"typer.Option(None, '--dict-id', help='Optional convenience mode: run pipeline after import.')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf,import_pdf_text_cmd,228,profile,option,--profile,no,"typer.Option('reading_v1', '--profile', help='Profile used only when --dict-id is provided.')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf,import_pdf_text_cmd,228,parser,option,--parser,no,"typer.Option(None, '--parser', help='Parser preset path/id used only when --dict-id is provided.')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf-text,import_pdf_text_cmd,228,project_dir,arg,,yes,,init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf-text,import_pdf_text_cmd,228,pdf_path,arg,,yes,,init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf-text,import_pdf_text_cmd,228,out,option,--out,no,"typer.Option(None, '--out', help='Optional output file or directory for extracted text.')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf-text,import_pdf_text_cmd,228,columns,option,--columns,no,"typer.Option(1, '--columns', min=1, max=3, help='Number of text columns to reconstruct (1..3).')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf-text,import_pdf_text_cmd,228,dict_id,option,--dict-id,no,"typer.Option(None, '--dict-id', help='Optional convenience mode: run pipeline after import.')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf-text,import_pdf_text_cmd,228,profile,option,--profile,no,"typer.Option('reading_v1', '--profile', help='Profile used only when --dict-id is provided.')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,pdf-text,import_pdf_text_cmd,228,parser,option,--parser,no,"typer.Option(None, '--parser', help='Parser preset path/id used only when --dict-id is provided.')",init_project | register_import_event | import_pdf_text | run_pipeline
import_app,url,import_url,312,project_dir,arg,,yes,,init_project | import_from_share_link | register_import_event
import_app,url,import_url,312,url,arg,,yes,,init_project | import_from_share_link | register_import_event
import_app,nomenclature,import_nomenclature,332,project_dir,arg,,yes,,init_project | SQLiteStore | store.ensure_dictionary | store.insert_entries | register_import_event | import_entries_jsonl | import_entries_csv | ParsedEntry | ProfileApplied | entry_id_for
import_app,nomenclature,import_nomenclature,332,input_file,arg,,yes,,init_project | SQLiteStore | store.ensure_dictionary | store.insert_entries | register_import_event | import_entries_jsonl | import_entries_csv | ParsedEntry | ProfileApplied | entry_id_for
import_app,nomenclature,import_nomenclature,332,dict_id,option,--dict-id,yes,"typer.Option(..., '--dict-id')",init_project | SQLiteStore | store.ensure_dictionary | store.insert_entries | register_import_event | import_entries_jsonl | import_entries_csv | ParsedEntry | ProfileApplied | entry_id_for
app,run,run,399,project_dir,arg,,yes,,run_pipeline
app,run,run,399,dict_id,option,--dict-id,yes,"typer.Option(..., '--dict-id', help='Dictionary identifier.')",run_pipeline
app,run,run,399,profile,option,--profile,no,"typer.Option('reading_v1', '--profile', help='Profile ID/file stem.')",run_pipeline
app,run,run,399,parser,option,--parser,no,"typer.Option(None, '--parser', help='Parsing preset path or parser_id. Defaults to auto preset for dict_id.')",run_pipeline
app,run,run,399,source,arg,,yes,None,run_pipeline
parser_app,list,parser_list,430,project_dir,arg,,yes,,init_project | discover_presets | load_parser_preset | preset_sha256_from_path
parser_app,list,parser_list,430,dict_id,option,--dict-id,yes,"typer.Option(..., '--dict-id')",init_project | discover_presets | load_parser_preset | preset_sha256_from_path
parser_app,validate,parser_validate,456,parser_path,arg,,yes,,load_parser_preset | preset_sha256_from_path
parser_app,validate,parser_validate,456,strict,option,--strict/--no-strict,no,"typer.Option(False, '--strict/--no-strict', help='Treat unknown keys as errors.')",load_parser_preset | preset_sha256_from_path
